id,bbox,sick
Train_602.jpg,"[0, 0, 64, 43]",1
Train_455.jpg,"[64, 0, 64, 43]",1
Train_1366.jpg,"[192, 0, 64, 43]",0
Train_732.jpg,"[256, 0, 64, 43]",1
Train_1500.jpg,"[320, 0, 64, 43]",1
Train_1008.jpg,"[384, 0, 64, 43]",1
Train_1807.jpg,"[448, 0, 64, 43]",0
Train_1329.jpg,"[512, 0, 64, 43]",1
Train_825.jpg,"[576, 0, 64, 43]",1
Train_88.jpg,"[640, 0, 64, 43]",0
Train_25.jpg,"[768, 0, 64, 43]",1
Train_1523.jpg,"[896, 0, 64, 43]",1
Train_1216.jpg,"[960, 0, 64, 43]",1
Train_1135.jpg,"[1024, 0, 64, 43]",1
Train_1259.jpg,"[1088, 0, 64, 43]",1
Train_1264.jpg,"[1216, 0, 64, 43]",1
Train_1358.jpg,"[1280, 0, 64, 43]",1
Train_1031.jpg,"[1408, 0, 64, 43]",0
Train_1048.jpg,"[1472, 0, 64, 43]",1
Train_1618.jpg,"[1536, 0, 64, 43]",1
Train_1379.jpg,"[1600, 0, 64, 43]",1
Train_866.jpg,"[1664, 0, 64, 43]",0
Train_857.jpg,"[1728, 0, 64, 43]",1
Train_1028.jpg,"[1792, 0, 64, 43]",1
Train_756.jpg,"[0, 43, 64, 43]",1
Train_41.jpg,"[192, 43, 64, 43]",1
Train_1045.jpg,"[256, 43, 64, 43]",1
Train_1346.jpg,"[448, 43, 64, 43]",1
Train_1276.jpg,"[512, 43, 64, 43]",1
Train_641.jpg,"[576, 43, 64, 43]",1
Train_1744.jpg,"[704, 43, 64, 43]",1
Train_106.jpg,"[768, 43, 64, 43]",1
Train_652.jpg,"[896, 43, 64, 43]",1
Train_1446.jpg,"[1024, 43, 64, 43]",1
Train_278.jpg,"[1088, 43, 64, 43]",0
Train_126.jpg,"[1280, 43, 64, 43]",1
Train_1775.jpg,"[1344, 43, 64, 43]",1
Train_1718.jpg,"[1408, 43, 64, 43]",1
Train_438.jpg,"[1536, 43, 64, 43]",0
Train_1161.jpg,"[1600, 43, 64, 43]",1
Train_1250.jpg,"[1728, 43, 64, 43]",1
Train_1092.jpg,"[0, 86, 64, 43]",0
Train_646.jpg,"[192, 86, 64, 43]",0
Train_1312.jpg,"[256, 86, 64, 43]",1
Train_36.jpg,"[320, 86, 64, 43]",1
Train_1010.jpg,"[448, 86, 64, 43]",1
Train_1372.jpg,"[512, 86, 64, 43]",0
Train_680.jpg,"[576, 86, 64, 43]",1
Train_197.jpg,"[640, 86, 64, 43]",1
Train_1263.jpg,"[704, 86, 64, 43]",1
Train_923.jpg,"[768, 86, 64, 43]",0
Train_1348.jpg,"[832, 86, 64, 43]",0
Train_119.jpg,"[896, 86, 64, 43]",1
Train_1531.jpg,"[960, 86, 64, 43]",1
Train_762.jpg,"[1024, 86, 64, 43]",1
Train_77.jpg,"[1088, 86, 64, 43]",0
Train_439.jpg,"[1152, 86, 64, 43]",0
Train_404.jpg,"[1216, 86, 64, 43]",0
Train_1165.jpg,"[1280, 86, 64, 43]",1
Train_749.jpg,"[1344, 86, 64, 43]",1
Train_1389.jpg,"[1408, 86, 64, 43]",0
Train_500.jpg,"[1472, 86, 64, 43]",1
Train_52.jpg,"[1536, 86, 64, 43]",1
Train_321.jpg,"[1600, 86, 64, 43]",1
Train_1412.jpg,"[1664, 86, 64, 43]",1
Train_1169.jpg,"[1728, 86, 64, 43]",1
Train_1486.jpg,"[1792, 86, 64, 43]",1
Train_990.jpg,"[128, 129, 64, 43]",1
Train_1460.jpg,"[192, 129, 64, 43]",1
Train_830.jpg,"[320, 129, 64, 43]",1
Train_754.jpg,"[384, 129, 64, 43]",1
Train_1038.jpg,"[448, 129, 64, 43]",1
Train_231.jpg,"[512, 129, 64, 43]",1
Train_694.jpg,"[576, 129, 64, 43]",0
Train_1653.jpg,"[640, 129, 64, 43]",0
Train_1.jpg,"[704, 129, 64, 43]",1
Train_1338.jpg,"[768, 129, 64, 43]",1
Train_1793.jpg,"[832, 129, 64, 43]",1
Train_1687.jpg,"[896, 129, 64, 43]",0
Train_116.jpg,"[960, 129, 64, 43]",1
Train_1663.jpg,"[1024, 129, 64, 43]",0
Train_543.jpg,"[1088, 129, 64, 43]",1
Train_1369.jpg,"[1152, 129, 64, 43]",1
Train_363.jpg,"[1280, 129, 64, 43]",1
Train_1129.jpg,"[1344, 129, 64, 43]",1
Train_493.jpg,"[1408, 129, 64, 43]",1
Train_336.jpg,"[1600, 129, 64, 43]",1
Train_204.jpg,"[1664, 129, 64, 43]",1
Train_391.jpg,"[1728, 129, 64, 43]",1
Train_1716.jpg,"[1792, 129, 64, 43]",1
Train_170.jpg,"[0, 172, 64, 43]",1
Train_1108.jpg,"[128, 172, 64, 43]",1
Train_1144.jpg,"[320, 172, 64, 43]",1
Train_524.jpg,"[448, 172, 64, 43]",1
Train_565.jpg,"[512, 172, 64, 43]",1
Train_1399.jpg,"[576, 172, 64, 43]",1
Train_1050.jpg,"[640, 172, 64, 43]",1
Train_82.jpg,"[768, 172, 64, 43]",1
Train_1462.jpg,"[896, 172, 64, 43]",1
Train_845.jpg,"[960, 172, 64, 43]",1
Train_436.jpg,"[1024, 172, 64, 43]",1
Train_1761.jpg,"[1088, 172, 64, 43]",1
Train_1299.jpg,"[1152, 172, 64, 43]",1
Train_235.jpg,"[1216, 172, 64, 43]",1
Train_629.jpg,"[1344, 172, 64, 43]",1
Train_795.jpg,"[1472, 172, 64, 43]",1
Train_609.jpg,"[1536, 172, 64, 43]",1
Train_1001.jpg,"[1600, 172, 64, 43]",0
Train_279.jpg,"[1664, 172, 64, 43]",1
Train_868.jpg,"[1728, 172, 64, 43]",1
Train_1553.jpg,"[1792, 172, 64, 43]",1
Train_663.jpg,"[0, 215, 64, 43]",1
Train_943.jpg,"[64, 215, 64, 43]",1
Train_60.jpg,"[128, 215, 64, 43]",1
Train_1289.jpg,"[192, 215, 64, 43]",0
Train_487.jpg,"[256, 215, 64, 43]",1
Train_896.jpg,"[320, 215, 64, 43]",0
Train_1013.jpg,"[384, 215, 64, 43]",1
Train_1705.jpg,"[448, 215, 64, 43]",1
Train_531.jpg,"[512, 215, 64, 43]",0
Train_1283.jpg,"[576, 215, 64, 43]",1
Train_1777.jpg,"[704, 215, 64, 43]",0
Train_1674.jpg,"[960, 215, 64, 43]",1
Train_21.jpg,"[1152, 215, 64, 43]",1
Train_115.jpg,"[1216, 215, 64, 43]",1
Train_74.jpg,"[1280, 215, 64, 43]",1
Train_399.jpg,"[1408, 215, 64, 43]",1
Train_618.jpg,"[1472, 215, 64, 43]",0
Train_1503.jpg,"[1536, 215, 64, 43]",1
Train_765.jpg,"[1600, 215, 64, 43]",1
Train_803.jpg,"[1664, 215, 64, 43]",1
Train_1488.jpg,"[1728, 215, 64, 43]",1
Train_1162.jpg,"[1792, 215, 64, 43]",1
Train_1662.jpg,"[0, 258, 64, 43]",1
Train_620.jpg,"[64, 258, 64, 43]",1
Train_1034.jpg,"[128, 258, 64, 43]",0
Train_1074.jpg,"[256, 258, 64, 43]",1
Train_4.jpg,"[320, 258, 64, 43]",0
Train_1080.jpg,"[384, 258, 64, 43]",0
Train_673.jpg,"[448, 258, 64, 43]",1
Train_1357.jpg,"[512, 258, 64, 43]",0
Train_173.jpg,"[576, 258, 64, 43]",1
Train_958.jpg,"[704, 258, 64, 43]",0
Train_356.jpg,"[768, 258, 64, 43]",0
Train_237.jpg,"[832, 258, 64, 43]",1
Train_1641.jpg,"[1024, 258, 64, 43]",1
Train_574.jpg,"[1088, 258, 64, 43]",1
Train_463.jpg,"[1152, 258, 64, 43]",1
Train_395.jpg,"[1216, 258, 64, 43]",1
Train_1149.jpg,"[1280, 258, 64, 43]",1
Train_1281.jpg,"[1344, 258, 64, 43]",1
Train_645.jpg,"[1408, 258, 64, 43]",1
Train_989.jpg,"[1536, 258, 64, 43]",0
Train_354.jpg,"[1664, 258, 64, 43]",1
Train_563.jpg,"[1728, 258, 64, 43]",1
Train_1236.jpg,"[1792, 258, 64, 43]",1
Train_1629.jpg,"[0, 301, 64, 43]",1
Train_313.jpg,"[64, 301, 64, 43]",1
Train_1214.jpg,"[128, 301, 64, 43]",0
Train_1815.jpg,"[192, 301, 64, 43]",1
Train_251.jpg,"[256, 301, 64, 43]",1
Train_753.jpg,"[320, 301, 64, 43]",0
Train_1515.jpg,"[384, 301, 64, 43]",1
Train_1234.jpg,"[448, 301, 64, 43]",1
Train_1536.jpg,"[512, 301, 64, 43]",1
Train_905.jpg,"[576, 301, 64, 43]",1
Train_1502.jpg,"[704, 301, 64, 43]",1
Train_760.jpg,"[832, 301, 64, 43]",1
Train_1176.jpg,"[896, 301, 64, 43]",0
Train_1115.jpg,"[1024, 301, 64, 43]",0
Train_1270.jpg,"[1088, 301, 64, 43]",1
Train_504.jpg,"[1152, 301, 64, 43]",1
Train_125.jpg,"[1216, 301, 64, 43]",1
Train_68.jpg,"[1344, 301, 64, 43]",0
Train_96.jpg,"[1408, 301, 64, 43]",1
Train_1526.jpg,"[1472, 301, 64, 43]",1
Train_906.jpg,"[1536, 301, 64, 43]",1
Train_1011.jpg,"[1600, 301, 64, 43]",1
Train_859.jpg,"[1664, 301, 64, 43]",1
Train_218.jpg,"[1728, 301, 64, 43]",1
Train_245.jpg,"[1792, 301, 28, 43]",1
Train_886.jpg,"[128, 344, 64, 43]",1
Train_316.jpg,"[448, 344, 64, 43]",1
Train_1083.jpg,"[512, 344, 64, 43]",1
Train_294.jpg,"[640, 344, 64, 43]",1
Train_1428.jpg,"[704, 344, 64, 43]",1
Train_1042.jpg,"[768, 344, 64, 43]",1
Train_1390.jpg,"[832, 344, 64, 43]",1
Train_1280.jpg,"[896, 344, 64, 43]",1
Train_168.jpg,"[960, 344, 64, 43]",1
Train_1385.jpg,"[1024, 344, 64, 43]",1
Train_1147.jpg,"[1088, 344, 64, 43]",1
Train_936.jpg,"[1152, 344, 64, 43]",1
Train_705.jpg,"[1216, 344, 64, 43]",1
Train_62.jpg,"[1280, 344, 64, 43]",1
Train_1046.jpg,"[1344, 344, 64, 43]",1
Train_1554.jpg,"[1408, 344, 64, 43]",1
Train_1035.jpg,"[1472, 344, 64, 43]",1
Train_122.jpg,"[1536, 344, 64, 43]",1
Train_367.jpg,"[1600, 344, 64, 43]",0
Train_1019.jpg,"[1728, 344, 64, 43]",1
Train_338.jpg,"[0, 387, 64, 43]",1
Train_702.jpg,"[64, 387, 64, 43]",1
Train_283.jpg,"[128, 387, 64, 43]",1
Train_1017.jpg,"[192, 387, 64, 43]",0
Train_501.jpg,"[256, 387, 64, 43]",1
Train_517.jpg,"[320, 387, 64, 43]",1
Train_250.jpg,"[384, 387, 64, 43]",1
Train_121.jpg,"[448, 387, 64, 43]",1
Train_1110.jpg,"[512, 387, 64, 43]",0
Train_884.jpg,"[704, 387, 64, 43]",1
Train_1138.jpg,"[768, 387, 64, 43]",1
Train_1745.jpg,"[832, 387, 64, 43]",1
Train_1767.jpg,"[896, 387, 64, 43]",1
Train_1197.jpg,"[960, 387, 64, 43]",1
Train_1700.jpg,"[1024, 387, 64, 43]",1
Train_1752.jpg,"[1088, 387, 64, 43]",1
Train_980.jpg,"[1216, 387, 64, 43]",0
Train_104.jpg,"[1280, 387, 64, 43]",1
Train_1450.jpg,"[1344, 387, 64, 43]",1
Train_178.jpg,"[1408, 387, 64, 43]",1
Train_965.jpg,"[1536, 387, 64, 43]",1
Train_963.jpg,"[1664, 387, 64, 43]",0
Train_973.jpg,"[1728, 387, 64, 43]",1
Train_686.jpg,"[1792, 387, 64, 43]",1
Train_1779.jpg,"[0, 430, 64, 43]",1
Train_1282.jpg,"[128, 430, 64, 43]",0
Train_1202.jpg,"[192, 430, 64, 43]",1
Train_1519.jpg,"[256, 430, 64, 43]",1
Train_180.jpg,"[320, 430, 64, 43]",1
Train_434.jpg,"[384, 430, 64, 43]",1
Train_889.jpg,"[448, 430, 64, 43]",1
Train_1239.jpg,"[512, 430, 64, 43]",0
Train_761.jpg,"[576, 430, 64, 43]",0
Train_1209.jpg,"[704, 430, 64, 43]",1
Train_267.jpg,"[768, 430, 64, 43]",1
Train_1581.jpg,"[832, 430, 64, 43]",1
Train_564.jpg,"[896, 430, 64, 43]",1
Train_1470.jpg,"[960, 430, 64, 43]",1
Train_1734.jpg,"[1024, 430, 64, 43]",0
Train_1393.jpg,"[1088, 430, 64, 43]",1
Train_1496.jpg,"[1216, 430, 64, 43]",0
Train_559.jpg,"[1280, 430, 64, 43]",1
Train_1636.jpg,"[1472, 430, 64, 43]",1
Train_897.jpg,"[1536, 430, 64, 43]",0
Train_747.jpg,"[1664, 430, 64, 43]",0
Train_617.jpg,"[1728, 430, 64, 43]",1
Train_426.jpg,"[0, 473, 64, 43]",1
Train_1441.jpg,"[256, 473, 64, 43]",1
Train_1780.jpg,"[320, 473, 64, 43]",1
Train_891.jpg,"[384, 473, 64, 43]",1
Train_113.jpg,"[448, 473, 64, 43]",1
Train_709.jpg,"[512, 473, 64, 43]",1
Train_751.jpg,"[640, 473, 64, 43]",1
Train_535.jpg,"[704, 473, 64, 43]",1
Train_508.jpg,"[832, 473, 64, 43]",1
Train_833.jpg,"[896, 473, 64, 43]",0
Train_333.jpg,"[1088, 473, 64, 43]",1
Train_828.jpg,"[1152, 473, 64, 43]",1
Train_530.jpg,"[1216, 473, 64, 43]",1
Train_328.jpg,"[1344, 473, 64, 43]",1
Train_1609.jpg,"[1408, 473, 64, 43]",1
Train_1335.jpg,"[1472, 473, 64, 43]",0
Train_1664.jpg,"[1536, 473, 64, 43]",1
Train_1434.jpg,"[1600, 473, 64, 43]",1
Train_1433.jpg,"[1664, 473, 64, 43]",1
Train_289.jpg,"[1728, 473, 64, 43]",1
Train_1062.jpg,"[0, 516, 64, 43]",1
Train_1648.jpg,"[64, 516, 64, 43]",1
Train_579.jpg,"[128, 516, 64, 43]",0
Train_466.jpg,"[192, 516, 64, 43]",0
Train_1324.jpg,"[320, 516, 64, 43]",1
Train_1679.jpg,"[384, 516, 64, 43]",1
Train_95.jpg,"[512, 516, 64, 43]",1
Train_520.jpg,"[576, 516, 64, 43]",1
Train_682.jpg,"[704, 516, 64, 43]",1
Train_54.jpg,"[768, 516, 64, 43]",0
Train_949.jpg,"[896, 516, 64, 43]",1
Train_1804.jpg,"[960, 516, 64, 43]",1
Train_23.jpg,"[1024, 516, 64, 43]",1
Train_1132.jpg,"[1152, 516, 64, 43]",1
Train_502.jpg,"[1216, 516, 64, 43]",0
Train_1589.jpg,"[1280, 516, 64, 43]",1
Train_1052.jpg,"[1408, 516, 64, 43]",1
Train_890.jpg,"[1472, 516, 64, 43]",0
Train_538.jpg,"[1536, 516, 64, 43]",1
Train_1170.jpg,"[1600, 516, 64, 43]",1
Train_613.jpg,"[1728, 516, 64, 43]",1
Train_1095.jpg,"[1792, 516, 64, 43]",1
Train_1577.jpg,"[0, 559, 64, 43]",1
